Command Sent SET TEMPERATURE - #0,10,32*870a  * 07-04-2025 16:26:51.990
CRC-Response  - 193,3,I001,2*6817 * 07-04-2025 17:23:39.521
5 Secconds Timer increments in Jar J25 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:23:42.409
CRC-Response  - 193,3,F000,2*5746 * 07-04-2025 17:23:45.136
RA Placed Rack in J24 * 07-04-2025 17:23:45.144
Command Sent Rack-3 Picked from J25 - #194,2,2,13934,8590,0,0*ec90  * 07-04-2025 17:23:47.625
CRC-Response  - 194,2,I001,2*7e67 * 07-04-2025 17:23:47.835
CRC-Response  - 194,2,F000,2*4136 * 07-04-2025 17:23:53.439
RA Picked Rack From J25 * 07-04-2025 17:23:53.443
Command Sent RA-1 Movement - #195,1,1,64754,800 ,0*e369  * 07-04-2025 17:23:54.57
CRC-Response  - 195,1,I001,1*af36 * 07-04-2025 17:23:54.271
CRC-Response  - 195,1,F000,1*9067 * 07-04-2025 17:23:55.14
RA Moved to assigned Location * 07-04-2025 17:23:55.21
Command Sent Rack-3 Placed in U3 - #196,3,2,53864,16380,0,0*b166  * 07-04-2025 17:23:55.448
CRC-Response  - 196,3,I001,2*7807 * 07-04-2025 17:23:55.661
5 Secconds Timer increments in Jar J19 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:23:56.666
5 Secconds Timer increments in Jar J19 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:24:01.691
CRC-Response  - 196,3,F000,2*4756 * 07-04-2025 17:24:05.328
RA Placed Rack in U3 * 07-04-2025 17:24:05.334
Command Sent RA-2 Movement - #197,1,2,2688,800 ,0*00a5  * 07-04-2025 17:24:05.940
CRC-Response  - 197,1,I001,2*64d7 * 07-04-2025 17:24:06.160
Rack - 3Protocol End Time * 07-04-2025 17:24:06.671
5 Secconds Timer increments in Jar J19 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:24:08.731
5 Secconds Timer increments in Jar J19 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:24:11.748
CRC-Response  - 197,1,F000,2*5b86 * 07-04-2025 17:24:12.744
RA Moved to assigned Location * 07-04-2025 17:24:12.751
Command Sent Rack-5 Picked from J19 - #198,2,2,35714,8590,0,0*4a68  * 07-04-2025 17:24:16.951
CRC-Response  - 198,2,I001,2*41a7 * 07-04-2025 17:24:17.168
5 Secconds Timer increments in Jar W2 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:24:23.724
CRC-Response  - 198,2,F000,2*7ef6 * 07-04-2025 17:24:26.69
RA Picked Rack From J19 * 07-04-2025 17:24:26.74
Command Sent Rack-5 Placed in J20 - #199,3,2,32084,8590,0,0*77d4  * 07-04-2025 17:24:26.414
CRC-Response  - 199,3,I001,2*4837 * 07-04-2025 17:24:26.624
5 Secconds Timer increments in Jar W2 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:24:28.734
CRC-Response  - 199,3,F000,2*7766 * 07-04-2025 17:24:32.229
RA Placed Rack in J20 * 07-04-2025 17:24:32.240
Command Sent WATER VALVE - 2 CONTROL OFF - #200,13,2,0*4bde  * 07-04-2025 17:24:33.922
CRC-Response  - 200,13,F000*7a11 * 07-04-2025 17:24:34.136
Command Sent Rack-6 Picked from W2 - #201,2,1,46604,800,0,0*6eed  * 07-04-2025 17:24:34.323
CRC-Response  - 201,2,I001,1*f71d * 07-04-2025 17:24:34.537
CRC-Response  - 201,2,F000,1*c84c * 07-04-2025 17:24:41.776
RA Picked Rack From W2 * 07-04-2025 17:24:41.784
Command Sent Rack-6 Placed in J9 - #202,3,1,39344,800,0,0*f0b7  * 07-04-2025 17:24:42.323
CRC-Response  - 202,3,I001,1*342c * 07-04-2025 17:24:42.534
CRC-Response  - 202,3,F000,1*0b7d * 07-04-2025 17:24:48.560
RA Placed Rack in J9 * 07-04-2025 17:24:48.567
Command Sent READ TEMPERATURE - #203,11*c45e  * 07-04-2025 17:24:53.109
CRC-Response  - 203,11,F000,545*a54e * 07-04-2025 17:24:53.315
Command Sent READ TEMPERATURE - #204,11*b05f  * 07-04-2025 17:25:10.488
CRC-Response  - 204,11,F000,545*e245 * 07-04-2025 17:25:10.701
Command Sent Rack-5 Picked from J20 - #205,2,2,32084,8590,0,0*ca7f  * 07-04-2025 17:25:18.59
CRC-Response  - 205,2,I001,2*231c * 07-04-2025 17:25:18.271
CRC-Response  - 205,2,F000,2*1c4d * 07-04-2025 17:25:23.366
RA Picked Rack From J20 * 07-04-2025 17:25:23.369
Command Sent Rack-5 Placed in J21 - #206,3,2,28454,8590,0,0*adb8  * 07-04-2025 17:25:23.998
CRC-Response  - 206,3,I001,2*e02d * 07-04-2025 17:25:24.205
CRC-Response  - 206,3,F000,2*df7c * 07-04-2025 17:25:29.825
RA Placed Rack in J21 * 07-04-2025 17:25:29.832
Command Sent WATER VALVE - 2 CONTROL ON - #207,13,2,1*6d5e  * 07-04-2025 17:25:32.348
CRC-Response  - 207,13,F000*4a37 * 07-04-2025 17:25:32.567
Command Sent Rack-4 Picked from J24 - #208,2,2,17564,8590,0,0*f565  * 07-04-2025 17:25:46.59
CRC-Response  - 208,2,I001,2*d98d * 07-04-2025 17:25:46.274
5 Secconds Timer increments in Jar J9 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:25:49.257
CRC-Response  - 208,2,F000,2*e6dc * 07-04-2025 17:25:52.686
RA Picked Rack From J24 * 07-04-2025 17:25:52.695
Command Sent Rack-4 Placed in J25 - #209,3,2,13934,8590,0,0*8006  * 07-04-2025 17:25:53.35
CRC-Response  - 209,3,I001,2*d01d * 07-04-2025 17:25:53.260
5 Secconds Timer increments in Jar J9 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:25:54.284
CRC-Response  - 209,3,F000,2*ef4c * 07-04-2025 17:25:58.851
RA Placed Rack in J25 * 07-04-2025 17:25:58.856
11 Secconds Timer increments in Jar J9 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:25:59.313
Command Sent Rack-6 Picked from J9 - #210,2,1,39344,800,0,0*09a2  * 07-04-2025 17:26:10.521
CRC-Response  - 210,2,I001,1*ce48 * 07-04-2025 17:26:10.732
CRC-Response  - 210,2,F000,1*f119 * 07-04-2025 17:26:15.831
RA Picked Rack From J9 * 07-04-2025 17:26:15.839
Command Sent Rack-6 Placed in W2 - #211,3,1,46604,800,0,0*2f81  * 07-04-2025 17:26:16.458
CRC-Response  - 211,3,I001,1*c7d8 * 07-04-2025 17:26:16.677
CRC-Response  - 211,3,F000,1*f889 * 07-04-2025 17:26:22.699
RA Placed Rack in W2 * 07-04-2025 17:26:22.704
Command Sent READ TEMPERATURE - #212,11*f862  * 07-04-2025 17:26:27.186
CRC-Response  - 212,11,F000,545*e54c * 07-04-2025 17:26:27.399
Command Sent Rack-5 Picked from J21 - #213,2,2,28454,8590,0,0*d535  * 07-04-2025 17:26:30.538
CRC-Response  - 213,2,I001,2*c0f8 * 07-04-2025 17:26:30.756
CRC-Response  - 213,2,F000,2*ffa9 * 07-04-2025 17:26:37.571
RA Picked Rack From J21 * 07-04-2025 17:26:37.577
Command Sent Rack-5 Placed in J22 - #214,3,2,24824,8590,0,0*36ca  * 07-04-2025 17:26:38.4
CRC-Response  - 214,3,I001,2*d688 * 07-04-2025 17:26:38.219
Rack Unloaded From U3 * 07-04-2025 17:26:47.979
CRC-Response  - 214,3,F000,2*e9d9 * 07-04-2025 17:26:48.199
RA Placed Rack in J22 * 07-04-2025 17:26:48.204
Command Sent READ TEMPERATURE - #215,11*8c63  * 07-04-2025 17:26:48.980
CRC-Response  - 215,11,F000,545*a247 * 07-04-2025 17:26:49.188
Command Sent READ TEMPERATURE - #216,11*c863  * 07-04-2025 17:27:04.369
CRC-Response  - 216,11,F000,447*6092 * 07-04-2025 17:27:04.657
Command Sent READ TEMPERATURE - #217,11*3462  * 07-04-2025 17:27:20.816
CRC-Response  - 217,11,F000,-273*2446 * 07-04-2025 17:27:21.60
Command Sent WATER VALVE - 2 CONTROL OFF - #218,13,2,0*7dd2  * 07-04-2025 17:27:23.92
CRC-Response  - 218,13,F000*7f27 * 07-04-2025 17:27:23.307
Command Sent Rack-6 Picked from W2 - #219,2,1,46604,800,0,0*de32  * 07-04-2025 17:27:23.510
CRC-Response  - 219,2,I001,1*e198 * 07-04-2025 17:27:23.724
CRC-Response  - 219,2,F000,1*dec9 * 07-04-2025 17:27:28.828
RA Picked Rack From W2 * 07-04-2025 17:27:28.834
Command Sent Rack-6 Placed in J18 - #220,3,1,39344,8590,0,0*afa0  * 07-04-2025 17:27:29.457
CRC-Response  - 220,3,I001,1*4686 * 07-04-2025 17:27:29.674
CRC-Response  - 220,3,F000,1*79d7 * 07-04-2025 17:27:35.698
RA Placed Rack in J18 * 07-04-2025 17:27:35.704
Command Sent READ TEMPERATURE - #221,11*bc26  * 07-04-2025 17:27:40.179
CRC-Response  - 221,11,F000,-273*2303 * 07-04-2025 17:27:40.395
Command Sent Rack-5 Picked from J22 - #222,2,2,24824,8590,0,0*9f20  * 07-04-2025 17:27:48.633
CRC-Response  - 222,2,I001,2*41a6 * 07-04-2025 17:27:48.847
CRC-Response  - 222,2,F000,2*7ef7 * 07-04-2025 17:27:53.927
RA Picked Rack From J22 * 07-04-2025 17:27:53.932
Command Sent Rack-5 Placed in J23 - #223,3,2,21194,8590,0,0*8f79  * 07-04-2025 17:27:54.567
CRC-Response  - 223,3,I001,2*4836 * 07-04-2025 17:27:54.780
5 Secconds Timer increments in Jar J25 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:27:59.689
CRC-Response  - 223,3,F000,2*7767 * 07-04-2025 17:28:00.386
RA Placed Rack in J23 * 07-04-2025 17:28:00.389
Command Sent Rack-4 Picked from J25 - #224,2,2,13934,8590,0,0*8259  * 07-04-2025 17:28:04.887
CRC-Response  - 224,2,I001,2*5e46 * 07-04-2025 17:28:05.102
CRC-Response  - 224,2,F000,2*6117 * 07-04-2025 17:28:11.110
RA Picked Rack From J25 * 07-04-2025 17:28:11.117
Command Sent RA-1 Movement - #225,1,1,64754,800 ,0*f58b  * 07-04-2025 17:28:11.403
CRC-Response  - 225,1,I001,1*8f17 * 07-04-2025 17:28:11.614
CRC-Response  - 225,1,F000,1*b046 * 07-04-2025 17:28:15.313
RA Moved to assigned Location * 07-04-2025 17:28:15.319
Command Sent Rack-4 Placed in U4 - #226,3,2,50234,16380,0,0*e2df  * 07-04-2025 17:28:15.770
CRC-Response  - 226,3,I001,2*5826 * 07-04-2025 17:28:15.978
CRC-Response  - 226,3,F000,2*6777 * 07-04-2025 17:28:25.258
RA Placed Rack in U4 * 07-04-2025 17:28:25.265
Command Sent READ TEMPERATURE - #227,1,2,2688,800 ,0*6293  * 07-04-2025 17:28:25.746
CRC-Response  - 227,1,I001,2*44f6 * 07-04-2025 17:28:25.964
Rack - 4Protocol End Time * 07-04-2025 17:28:26.474
Command Sent READ TEMPERATURE - #228,11*2025  * 07-04-2025 17:28:31.685
5 Secconds Timer increments in Jar J18 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:28:36.690
CRC-Response  - 228,11,F000,545*ec57 * 07-04-2025 17:28:36.901
CRC-Response  - 227,1,F000,2*7ba7 * 07-04-2025 17:28:36.925
RA Moved to assigned Location * 07-04-2025 17:28:36.928
Command Sent WATER VALVE - 6 CONTROL ON - #229,13,6,1*4087  * 07-04-2025 17:28:37.846
CRC-Response  - 229,13,F000*e0da * 07-04-2025 17:28:38.62
Command Sent Rack-6 Picked from J18 - #230,2,1,39344,8590,0,0*82e1  * 07-04-2025 17:28:41.916
CRC-Response  - 230,2,I001,1*7643 * 07-04-2025 17:28:42.129
CRC-Response  - 230,2,F000,1*4912 * 07-04-2025 17:28:50.198
RA Picked Rack From J18 * 07-04-2025 17:28:50.202
Command Sent Rack-6 Placed in W6 - #231,3,1,42974,8590,0,0*bf86  * 07-04-2025 17:28:50.912
CRC-Response  - 231,3,I001,1*7fd3 * 07-04-2025 17:28:51.124
CRC-Response  - 231,3,F000,1*4082 * 07-04-2025 17:28:56.746
RA Placed Rack in W6 * 07-04-2025 17:28:56.752
Command Sent READ TEMPERATURE - #232,11*381b  * 07-04-2025 17:29:00.905
CRC-Response  - 232,11,F000,545*274f * 07-04-2025 17:29:01.118
Command Sent Rack-5 Picked from J23 - #233,2,2,21194,8590,0,0*a238  * 07-04-2025 17:29:01.302
CRC-Response  - 233,2,I001,2*78f3 * 07-04-2025 17:29:01.519
CRC-Response  - 233,2,F000,2*47a2 * 07-04-2025 17:29:08.789
RA Picked Rack From J23 * 07-04-2025 17:29:08.799
Command Sent Rack-5 Placed in J24 - #234,3,2,17564,8590,0,0*f717  * 07-04-2025 17:29:09.275
CRC-Response  - 234,3,I001,2*6e83 * 07-04-2025 17:29:09.481
CRC-Response  - 234,3,F000,2*51d2 * 07-04-2025 17:29:15.99
RA Placed Rack in J24 * 07-04-2025 17:29:15.104
Command Sent Home Command - #235,5,00111111*b719  * 07-04-2025 17:29:18.49
CRC-Response  - 235,5,I001,00111111*9c2e * 07-04-2025 17:29:18.257
CRC-Response  - 235,5,F000*1a2a * 07-04-2025 17:29:18.276
Command Sent HEATER DOOR OPEN - #236,8,1,1*b170  * 07-04-2025 17:29:23.825
CRC-Response  - 236,8,I001*c6a9 * 07-04-2025 17:29:24.41
CRC-Response  - 236,8,F000*126b * 07-04-2025 17:29:24.381
Command Sent Level Sensing For L1 - #237,4,17564,16380,0,0*5714  * 07-04-2025 17:29:24.737
CRC-Response  - 237,4,I001*c668 * 07-04-2025 17:29:24.952
CRC-Response  - 237,4,F000,958*c24f * 07-04-2025 17:29:33.237
L1 Value - 958 * 07-04-2025 17:29:33.260
Command Sent Level Sensing For L2 - #238,4,13934,16380,0,0*465b  * 07-04-2025 17:29:33.648
CRC-Response  - 238,4,I001*8628 * 07-04-2025 17:29:33.866
CRC-Response  - 238,4,F000,959*169a * 07-04-2025 17:29:36.154
L2 Value - 959 * 07-04-2025 17:29:36.184
Command Sent Level Sensing For L3 - #239,4,10304,16380,0,0*b779  * 07-04-2025 17:29:36.542
CRC-Response  - 239,4,I001*4ae9 * 07-04-2025 17:29:36.753
CRC-Response  - 239,4,F000,961*e366 * 07-04-2025 17:29:39.30
L3 Value - 961 * 07-04-2025 17:29:39.58
Command Sent Home Command - #240,5,01111111*3c0e  * 07-04-2025 17:29:39.452
CRC-Response  - 240,5,I001,01111111*789c * 07-04-2025 17:29:39.666
CRC-Response  - 240,5,F000*15cc * 07-04-2025 17:29:39.672
Command Sent Home Command - #241,5,01111111*fff3  * 07-04-2025 17:29:41.358
CRC-Response  - 241,5,I001,01111111*e8cd * 07-04-2025 17:29:41.568
CRC-Response  - 241,5,F000*d90d * 07-04-2025 17:29:41.572
Rack - 7Protocol Started * 07-04-2025 17:29:42.820
Command Sent Rack-7 Picked from L1 - #242,2,2,17564,16380,0,0*3f44  * 07-04-2025 17:29:43.23
CRC-Response  - 242,2,I001,2*c9b8 * 07-04-2025 17:29:43.239
CRC-Response  - 242,2,F000,2*f6e9 * 07-04-2025 17:29:50.406
RA Picked Rack From L1 * 07-04-2025 17:29:50.418
Command Sent Rack-7 Placed in H1 - #243,3,2,2688,1000,0,1*92e9  * 07-04-2025 17:29:50.968
CRC-Response  - 243,3,I001,2*c028 * 07-04-2025 17:29:51.180
5 Secconds Timer increments in Jar W6 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:29:57.442
CRC-Response  - 243,3,F000,2*ff79 * 07-04-2025 17:29:58.61
RA Placed Rack in H1 * 07-04-2025 17:29:58.68
Command Sent HEATER DOOR CLOSE - #244,8,1,0*57d3  * 07-04-2025 17:29:58.970
CRC-Response  - 244,8,I001*2f0e * 07-04-2025 17:29:59.195
CRC-Response  - 244,8,F000*fbcc * 07-04-2025 17:29:59.520
Command Sent READ TEMPERATURE - #245,11*8caf  * 07-04-2025 17:29:59.877
CRC-Response  - 245,11,F000,545*a742 * 07-04-2025 17:30:00.89
Command Sent WATER VALVE - 6 CONTROL OFF - #246,13,6,0*602d  * 07-04-2025 17:30:02.617
CRC-Response  - 246,13,F000*0f7b * 07-04-2025 17:30:02.831
Command Sent Rack-6 Picked from W6 - #247,2,1,42974,8590,0,0*9229  * 07-04-2025 17:30:03.34
CRC-Response  - 247,2,I001,1*d8e8 * 07-04-2025 17:30:03.250
CRC-Response  - 247,2,F000,1*e7b9 * 07-04-2025 17:30:11.33
RA Picked Rack From W6 * 07-04-2025 17:30:11.38
Command Sent RA-2 Movement - #248,1,2,2688,800 ,0*1846  * 07-04-2025 17:30:11.513
CRC-Response  - 248,1,I001,2*fcd8 * 07-04-2025 17:30:11.723
CRC-Response  - 248,1,F000,2*c389 * 07-04-2025 17:30:12.540
RA Moved to assigned Location * 07-04-2025 17:30:12.548
Command Sent Rack-6 Placed in J19 - #249,3,1,35714,8590,0,0*9eeb  * 07-04-2025 17:30:12.931
CRC-Response  - 249,3,I001,1*e148 * 07-04-2025 17:30:13.140
CRC-Response  - 249,3,F000,1*de19 * 07-04-2025 17:30:19.162
RA Placed Rack in J19 * 07-04-2025 17:30:19.169
Command Sent RA-1 Movement - #250,1,1,64754,800 ,0*4c2e  * 07-04-2025 17:30:19.854
CRC-Response  - 250,1,I001,1*eb1d * 07-04-2025 17:30:20.72
CRC-Response  - 250,1,F000,1*d44c * 07-04-2025 17:30:24.166
RA Moved to assigned Location * 07-04-2025 17:30:24.172
Command Sent READ TEMPERATURE - #251,11*7c93  * 07-04-2025 17:30:28.441
CRC-Response  - 251,11,F000,447*e39c * 07-04-2025 17:30:28.655
Command Sent READ TEMPERATURE - #252,11*3893  * 07-04-2025 17:30:43.823
CRC-Response  - 252,11,F000,447*2099 * 07-04-2025 17:30:44.74
Command Sent READ TEMPERATURE - #253,11*c492  * 07-04-2025 17:31:00.241
CRC-Response  - 253,11,F000,545*a04b * 07-04-2025 17:31:00.505
Command Sent Rack-5 Picked from J24 - #254,2,2,17564,8590,0,0*6d20  * 07-04-2025 17:31:15.958
CRC-Response  - 254,2,I001,2*2a5c * 07-04-2025 17:31:16.172
5 Secconds Timer increments in Jar J19 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:31:19.824
CRC-Response  - 254,2,F000,2*150d * 07-04-2025 17:31:23.42
RA Picked Rack From J24 * 07-04-2025 17:31:23.48
Command Sent Rack-5 Placed in J25 - #255,3,2,13934,8590,0,0*1843  * 07-04-2025 17:31:23.401
CRC-Response  - 255,3,I001,2*23cc * 07-04-2025 17:31:23.611
5 Secconds Timer increments in Jar J19 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:31:24.845
CRC-Response  - 255,3,F000,2*1c9d * 07-04-2025 17:31:29.227
RA Placed Rack in J25 * 07-04-2025 17:31:29.235
Command Sent Rack-6 Picked from J19 - #0,2,2,35714,8590,0,0*a2b9  * 07-04-2025 17:31:30.416
CRC-Response  - 0,2,I001,2*b15e * 07-04-2025 17:31:30.628
CRC-Response  - 0,2,F000,2*8e0f * 07-04-2025 17:31:38.262
RA Picked Rack From J19 * 07-04-2025 17:31:38.269
Command Sent Rack-6 Placed in J20 - #1,3,2,32084,8590,0,0*9f05  * 07-04-2025 17:31:38.911
CRC-Response  - 1,3,I001,2*b8ce * 07-04-2025 17:31:39.124
CRC-Response  - 1,3,F000,2*879f * 07-04-2025 17:31:44.738
RA Placed Rack in J20 * 07-04-2025 17:31:44.749
Command Sent READ TEMPERATURE - #2,11*111b  * 07-04-2025 17:31:49.780
CRC-Response  - 2,11,F000,545*558d * 07-04-2025 17:31:49.988
Command Sent READ TEMPERATURE - #3,11*ed1a  * 07-04-2025 17:32:05.167
CRC-Response  - 3,11,F000,545*d48f * 07-04-2025 17:32:05.375
User Aborted / Stopped the application forcefully  * 07-04-2025 17:32:11.177
Command Sent HEATER OFF - #4,12,0*4e26  * 07-04-2025 17:32:14.546
CRC-Response  - 4,12,F000*38da * 07-04-2025 17:32:14.760
Command Sent WATER VALVE - 1 CONTROL OFF - #5,13,1,0*4c2b  * 07-04-2025 17:32:15.754
CRC-Response  - 5,13,F000*79d6 * 07-04-2025 17:32:15.960
